,objectname,rating,numplays,average,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,itemtype,,,,,,,,,,,,,
831,"Blood & Iron Map Pax 1","5","","7.66667","Blood & Iron Map Pax 1","1","2","30","30","30","2002","expansion",,,,,,,,,,,,,
832,'"Blood & Iron: Bismarck''s Wars for Empire"',"4","","6.475",'"Blood & Iron: Bismarck''s Wars for Empire"',"2","2","60","60","60","1993","standalone",,,,,,,,,,,,,
833,"Blood & Roses","7","","7.57449","Blood & Roses","2","2","120","120","120","2014","standalone",,,,,,,,,,,,,
834,"Blood and Jungle","7","1", use the counters that are already in the system!","5.6195","8.82245","3.9","0","238","thing","Blood and Jungle","",,,,,,,,,,,,,
835,"Blood Bowl (Second Edition)","6","22","6.78719","Blood Bowl (Second Edition)","2","2","180","180","180","1988","standalone",,,,,,,,,,,,,
836,"Blood Bowl Companion","6","","6.67872","Blood Bowl Companion","2","2","180","180","180","1990","expansion",,,,,,,,,,,,,
837,"Blood Bowl Star Players","5","","6.66785","Blood Bowl Star Players","2","2","180","180","180","1989","expansion",,,,,,,,,,,,,
838,"Blood Bowl: Team Manager – The Card Game","7","","7.37663","Blood Bowl: Team Manager – The Card Game","2","4","90","90","90","2011","standalone",,,,,,,,,,,,,
839,"Blood Bowl: Team Manager – The Card Game – Foul Play","7","","7.82614","Blood Bowl: Team Manager – The Card Game – Foul Play","2","5","60","60","60","2014","expansion",,,,,,,,,,,,,
840,"Blood Bowl: Team Manager – The Card Game: Sudden Death","7","","7.82335","Blood Bowl: Team Manager – The Card Game: Sudden Death","2","4","90","90","90","2013","expansion",,,,,,,,,,,,,
841,"Blood on the Snow: The Battle of Suomussalmi","7","","5.94287","Blood on the Snow: The Battle of Suomussalmi","2","2","240","240","240","1995","standalone",,,,,,,,,,,,,
842,"Blood on the Tigris","6","","5.8693","Blood on the Tigris","2","2","360","360","360","1995","standalone",,,,,,,,,,,,,
843,"Blood Reef: Tarawa","10","1","8.07849","Blood Reef: Tarawa – ASL Historical Module 5","2","2","120","120","120","1999","expansion",,,,,,,,,,,,,
844,"Blood Royale","9","3","6.53306","Blood Royale","3","5","240","240","240","1987","standalone",,,,,,,,,,,,,
845,"The Bloody Inn","6","","6.96895","The Bloody Inn","1","4","60","60","30","2015","standalone",,,,,,,,,,,,,
846,"The Bloody Inn: The Carnies","6","","7.62981","The Bloody Inn: The Carnies","2","4","60","60","45","2017","expansion",,,,,,,,,,,,,
847,"Blue Line Hockey","6","1","5.52881","Blue Line Hockey","2","2","45","45","45","1970","standalone",,,,,,,,,,,,,
848,"Blue Max","9","13","7.10848","Blue Max","2","6","60","60","60","1992","standalone",,,,,,,,,,,,,
849,"Blue Max","8","13","7.10848","Blue Max","2","6","60","60","60","1995","standalone",,,,,,,,,,,,,
850,"Blue Moon","7","2","6.70735","Blue Moon","2","2","30","30","30","2004","standalone",,,,,,,,,,,,,
851,"Blue Moon City","7","2","7.04894","Blue Moon City","2","4","60","60","60","2006","standalone",,,,,,,,,,,,,
852,"Blue Moon City: Zusätzliche Gebäude 1 & 2","7","","7.31047","Blue Moon City: Expansion Tile Sets 1 & 2","2","4","60","60","60","2006","expansion",,,,,,,,,,,,,
853,"Blue Moon: Die Aqua","7","","7.24366","Blue Moon: The Aqua","2","2","30","30","30","2005","expansion",,,,,,,,,,,,,
854,"Blue Moon: Die Buka-Invasion","7","","7.05428","Blue Moon: Buka Invasion","2","2","30","30","30","2006","expansion",,,,,,,,,,,,,
855,"Blue Moon: Die Flit","7","","7.03711","Blue Moon: The Flit","2","2","30","30","30","2004","expansion",,,,,,,,,,,,,
856,"Blue Moon: Die Khind","7","","7.20277","Blue Moon: The Khind","2","2","30","30","30","2004","expansion",,,,,,,,,,,,,
857,"Blue Moon: Die Mimix","7","","7.05523","Blue Moon: The Mimix","2","2","30","30","30","2004","expansion",,,,,,,,,,,,,
858,"Blue Moon: Die Pillar","7","","7.2208","Blue Moon: The Pillar","2","2","30","30","30","2005","expansion",,,,,,,,,,,,,
859,"Blue Moon: Die Terrah","7","","7.13021","Blue Moon: The Terrah","2","2","30","30","30","2004","expansion",,,,,,,,,,,,,
860,"Blue Moon: Erdgeister","7","","6.65936","Blue Moon: Earth Spirit","2","2","0","0","0","2005","expansion",,,,,,,,,,,,,
861,"Blue Moon: Feuergeister","7","","5.53177","thing","Blue Moon: Fire Spirit","2","2","30","30","30","",,,,,,,,,,,,,
862,"Blue Moon: Gesandte und Inquisitoren","7","","6.90936","Blue Moon: Emissaries & Inquisitors – Allies","2","2","30","30","30","2005","expansion",,,,,,,,,,,,,
863,"Blue Moon: Inquisitoren und Gesandte","7","","6.91365","Blue Moon: Emissaries & Inquisitors – Blessings","2","2","30","30","30","2005","expansion",,,,,,,,,,,,,
864,"Blue Moon: Seemond","7","","0","thing","Blue Moon: Sea Moon","0","0","0","0","0","",,,,,,,,,,,,,
865,"Blue Moon: Wassergeister","7","","5.52848","thing","Blue Moon: Water Spirit","2","2","30","30","30","",,,,,,,,,,,,,
866,"Blue Moon: Windgeister","7","","0","thing","Blue Moon: Wind Spirit","0","0","0","0","0","",,,,,,,,,,,,,
867,"Blue vs Gray","5","","6.75054","Blue vs. Gray","2","4","120","120","120","1999","standalone",,,,,,,,,,,,,
868,"Bluff","8","91","6.91559","Perudo","2","6","30","30","15","1998","standalone",,,,,,,,,,,,,
869,"BoardGameGeek: The Card Game","10","","5.4617","BoardGameGeek: The Card Game","2","6","20","20","20","2015","standalone",,,,,,,,,,,,,
870,"Bodycheck","4","","5.33333","Bodycheck","2","2","25","25","25","2007","standalone",,,,,,,,,,,,,
871,"The Boer War","7","","6.30556","The Boer War","2","2","180","180","180","1991","standalone",,,,,,,,,,,,,
872,"Boggle","5","36","6.19679","Boggle","1","8","10","10","10","1987","standalone",,,,,,,,,,,,,
873,"Bohn Camillo","5","","7.12737","Bohn Camillo","2","2","0","0","0","2011","expansion",,,,,,,,,,,,,
874,"Bohn Hansa","4","1","5.80523","Bean Trader","3","5","90","90","90","2002","standalone",,,,,,,,,,,,,
875,"Bohn Hansa: Die Städtemehrheiten","3","","6","Bohn Hansa: Die Städtemehrheiten","3","5","90","90","90","2004","expansion",,,,,,,,,,,,,
876,"Bohn To Be Wild!","7","","6.71745","Bohn To Be Wild!","1","7","60","60","60","2012","standalone",,,,,,,,,,,,,
877,"Bohnanza","8","13","7.04192","Bohnanza","2","7","45","45","45","1997","standalone",,,,,,,,,,,,,
878,"Bohnanza Erweiterungs-Set","8","","7.05142","Bohnanza Erweiterungs-Set","3","7","45","45","45","1997","expansion",,,,,,,,,,,,,
879,"Bohnanza Erweiterungs-Set (Revised Edition)","8","","7.01525","Bohnanza Erweiterungs-Set (Revised Edition)","3","7","60","60","60","2001","expansion",,,,,,,,,,,,,
880,"Bohnanza: Amigo Bohnentaler","3","","6.66071","Bohnanza: Amigo Bohnentaler","3","5","45","45","45","2004","expansion",,,,,,,,,,,,,
881,"Bohnanza: Das Fanbuch","6","","6.225","Bohnanza: Das Fanbuch","1","2","0","0","0","2007","expansion",,,,,,,,,,,,,
882,"Bohnanza: La Isla Bohnita","7","","5.84879","La Isla Bohnitâ","2","7","90","90","90","1998","expansion",,,,,,,,,,,,,
883,"Bohnanza: Ladybohn","5","","6.5629","Bohnanza: Ladybohn","1","5","45","45","45","2002","expansion",,,,,,,,,,,,,
884,"Bohnanza: Spiderbeans","7","","6.35282","Bohnanza: Spiderbeans","3","5","45","45","45","2007","expansion",,,,,,,,,,,,,
885,"Bohnaparte","7","","5.82498","Bohnaparte","3","6","90","90","90","2003","expansion",,,,,,,,,,,,,
886,"Bohnedikt","6","","6.75","Bohnedikt","2","5","45","45","45","2009","expansion",,,,,,,,,,,,,
887,"Bohnkick","6","1","5.28655","Bohnkick","2","4","45","45","45","2006","standalone",,,,,,,,,,,,,
888,"Bohnröschen","7","","6.5595","Bohnröschen","1","6","90","90","90","2007","expansion",,,,,,,,,,,,,
889,"Bomb Squad Academy","6","","6.43705","Bomb Squad Academy","2","5","40","40","20","2015","standalone",,,,,,,,,,,,,
890,"Bombs Away","3","","5.27941","Bombs Away","2","2","45","45","45","0","standalone",,,,,,,,,,,,,
891,"Bonaparte","9","2","5.38889","Bonaparte","2","4","360","360","360","1982","standalone",,,,,,,,,,,,,
892,"Bones","4","","5.13846","Bones","2","2","30","30","30","1995","standalone",,,,,,,,,,,,,
893,"Bongo!","3","12","6.07457","Bongo!","2","8","15","15","15","2000","standalone",,,,,,,,,,,,,
894,"Book of Lists Game","2","","3.77786","Book of Lists Game","2","4","60","60","60","1979","standalone",,,,,,,,,,,,,
895,"Boom Town","7","4","6.58155","Boom Town","4","6","30","30","30","1990","standalone",,,,,,,,,,,,,
896,"Boomtown","4","","6.53399","Boomtown","3","5","30","30","30","2004","standalone",,,,,,,,,,,,,
897,"Bora Bora","5","3","18029287","11183","thing","Bora Bora","2","4","120","120","",,,,,,,,,,,,,
898,"Bora Bora: Orange God Tiles","6","","7.45758","Bora Bora: Orange God Tiles","2","4","60","60","60","2013","expansion",,,,,,,,,,,,,
899,"Die Borgia: Ränkespiele in der Renaissance","3","","4.94143","The Prince: The Struggle of House Borgia","3","5","90","90","90","2003","standalone",,,,,,,,,,,,,
900,"Börsenpoker","3","1","5","Der Aktionär","3","6","45","45","45","0","standalone",,,,,,,,,,,,,
901,"Das Börsenspiel","4","2","5.78073","Broker","2","6","75","75","75","1972","standalone",,,,,,,,,,,,,
902,"Bosom Memo","10","2","","1.4194","17439","357","thing","Busen Memo","2","2","",,,,,,,,,,,,,
903,"Boss Monster 2: The Next Level","6","","6.78846","Boss Monster 2: The Next Level","2","4","30","30","20","2015","standalone",,,,,,,,,,,,,
904,"Boss Monster: Bom-Boy Factory Promo Card","6","","6.5","Boss Monster: Bom-Boy Factory Promo Card","2","4","20","20","20","2014","expansion",,,,,,,,,,,,,
905,"Boss Monster: Crash Landing","5","","6.88371","Boss Monster: Crash Landing","2","6","20","0","20","2016","expansion",,,,,,,,,,,,,
906,"Boss Monster: Creator Pack","7","","6.68493","Boss Monster: Creator Pack","2","4","20","20","20","2013","expansion",,,,,,,,,,,,,
907,"Boss Monster: Epic Multi Heroes","7","","6.81985","Boss Monster: Epic Multi Heroes","2","4","20","20","20","2013","expansion",,,,,,,,,,,,,
908,"Boss Monster: Hidden Secrets","6","","6.53784","Boss Monster: Hidden Secrets","2","4","0","0","0","2015","expansion",,,,,,,,,,,,,
909,"Boss Monster: Implements of Destruction","8","","7.24042","Boss Monster: Implements of Destruction","2","6","20","0","20","2017","expansion",,,,,,,,,,,,,
910,"Boss Monster: Killa,"164746","6","5.53749","thing","Boss Monster: Killa, Man Eating Gorilla Promo","2","4","20","20","",,,,,,,,,,,,,
911,"Boss Monster: Malakill Promo Card","6","","7","Boss Monster: Malakill Promo Card","2","4","20","20","20","0","expansion",,,,,,,,,,,,,
912,"Boss Monster: Master of the Dungeon","7","","6.30764","Boss Monster: The Dungeon Building Card Game","2","4","30","30","30","2012","standalone",,,,,,,,,,,,,
913,"Boss Monster: Mirrax Promo Card","6","","6.94444","Boss Monster: Mirrax Promo Card","2","4","20","0","20","2015","expansion",,,,,,,,,,,,,
914,"Boss Monster: Paper & Pixels","6","","6.95141","Boss Monster: Paper & Pixels","2","4","20","0","20","2015","expansion",,,,,,,,,,,,,
915,"Boss Monster: Power-Up Pack","7","","6.75291","Boss Monster: Power-Up Pack","2","4","20","20","20","2013","expansion",,,,,,,,,,,,,
916,"Boss Monster: The Golden Dragon","7","","6.71933","Boss Monster: The Golden Dragon","2","4","20","20","20","2013","expansion",,,,,,,,,,,,,
917,"Boss Monster: Tools of Hero-Kind","6","","6.77231","Boss Monster: Tools of Hero-Kind","2","4","20","20","20","2013","expansion",,,,,,,,,,,,,
918,"Die Bosse","6","8","5.82677","thing","Venture","2","6","45","45","45","",,,,,,,,,,,,,
919,"Bowling for Zombies!!!","6","","5.275","Bowling for Zombies!!!","2","5","15","15","15","2013","standalone",,,,,,,,,,,,,
920,"Brass","9","2","8.13116","Brass: Lancashire","2","4","120","120","60","2007","standalone",,,,,,,,,,,,,
921,"Brauerei","5","3","5.89194","Brauerei","3","6","0","0","0","1996","standalone",,,,,,,,,,,,,
922,"Break Contact! Aussie Tournament Pack","7","","7.4","Break Contact! Aussie Tournament Pack","2","2","0","0","0","2006","expansion",,,,,,,,,,,,,
923,"Break Contact: The Armoured Aussie Pack","7","","7.5","Break Contact: The Armoured Aussie Pack","2","2","180","180","180","2007","expansion",,,,,,,,,,,,,
924,"Breaking Away","7","1","7.35979","Breaking Away","2","9","90","90","60","1991","standalone",,,,,,,,,,,,,
925,"Breakout: Normandy","9","5","7.64459","Breakout: Normandy","2","2","240","240","240","1992","standalone",,,,,,,,,,,,,
926,"Brew Crafters","7","","7.52642","Brew Crafters","2","5","90","90","90","2015","standalone",,,,,,,,,,,,,
927,"Brew Crafters: Marketing Basics","6","","7.36719","Brew Crafters: Marketing Basics","2","5","90","90","90","2014","expansion",,,,,,,,,,,,,
928,"A Bridge Too Far: ASL Historical Module 6","10","","8.11615","A Bridge Too Far: ASL Historical Module 6","2","2","120","120","120","1999","expansion",,,,,,,,,,,,,
929,"Bridge Troll","6","","6.05027","Bridge Troll","3","6","45","45","45","2009","standalone",,,,,,,,,,,,,
930,"Briefcase","8","1","5.74618","thing","Briefcase","2","4","60","60","45","",,,,,,,,,,,,,
931,"Briefcase: Board Game Factory","7","","6.5621","Briefcase: Board Game Factory","2","4","45","45","45","2012","expansion",,,,,,,,,,,,,
932,"Briefcase: Bonus Companies","7","","6.71481","Briefcase: Bonus Companies","2","4","45","45","45","2012","expansion",,,,,,,,,,,,,
933,"Briefcase: City Hall","6","","6.94211","Briefcase: City Hall","2","4","45","45","45","2013","expansion",,,,,,,,,,,,,
934,"Briefcase: Double Buy","6","","6.28","Briefcase: Double Buy","2","4","45","45","45","2013","expansion",,,,,,,,,,,,,
935,"Briefcase: Government Bonus","6","","6.52391","Briefcase: Government Bonus","2","4","45","45","45","2012","expansion",,,,,,,,,,,,,
936,"Britain Stands Alone","6","","6.57087","Britain Stands Alone","2","2","360","360","360","1994","standalone",,,,,,,,,,,,,
937,"Britannia","10","45","","627","5511","thing","Britannia","3","5","240","",,,,,,,,,,,,,
938,"British AFV Cards","6","","6.14286","British AFV Cards","0","0","0","0","0","1989","expansion",,,,,,,,,,,,,
939,"British Rails","8","22","6.90048","British Rails","2","6","180","180","180","2002","standalone",,,,,,,,,,,,,
940,"British Rails","8","22","6.90048","British Rails","2","6","180","180","180","1984","standalone",,,,,,,,,,,,,
941,"Die Brücken von Shangrila","4","2","6.77572","The Bridges of Shangri-La","3","4","60","60","60","2003","standalone",,,,,,,,,,,,,
942,"Buck Rogers: Battle for the 25th Century Game","6","4","6.43429","Buck Rogers: Battle for the 25th Century Game","2","6","120","120","120","1988","standalone",,,,,,,,,,,,,
943,"Buckeyes!","5","1","7.16667","Buckeyes!","2","4","0","0","0","2005","expansion",,,,,,,,,,,,,
944,"Bull Run: The First Major Battle of the American Civil War","6","","6.32419","Bull Run: The First Major Battle of the American Civil War","2","2","240","240","240","1983","standalone",,,,,,,,,,,,,
945,"Bureaucracy","4","","4.06102","Bureaucracy","2","8","90","90","90","1981","standalone",,,,,,,,,,,,,
946,"Die Burgen von Burgund","7","3","8.12857","The Castles of Burgundy","2","4","90","90","30","2011","standalone",,,,,,,,,,,,,
947,"Die Burgen von Burgund: Die 5. Erweiterung – Der Lustgarten","5","","7.89206","The Castles of Burgundy: 5th Expansion – Pleasure Garden","2","4","90","90","90","2014","expansion",,,,,,,,,,,,,
948,'"Burke''s Gambit"',"6","","6.71752",'"Burke''s Gambit"',"4","8","20","20","20","2016","standalone",,,,,,,,,,,,,
949,"Burn in Hell","3","","4.44791","Burn in Hell","2","5","90","90","90","2004","standalone",,,,,,,,,,,,,
950,"Burrows","7","","6.23416","Burrows","2","5","45","45","45","2010","standalone",,,,,,,,,,,,,
951,'"Bushwhackin'' Varmints out of Sergio''s Butte"',"6","","5.94819",'"Bushwhackin'' Varmints out of Sergio''s Butte"',"2","6","20","20","20","2007","standalone",,,,,,,,,,,,,
952,"Business","2","","4.475","Business","3","5","0","0","0","1993","standalone",,,,,,,,,,,,,
953,"Business Strategy","5","","6.07805","Business Strategy","2","4","90","90","90","1973","standalone",,,,,,,,,,,,,
954,"Busting the Bocage","5","","6.6","Busting the Bocage","2","2","0","0","0","2001","expansion",,,,,,,,,,,,,
955,"Button Men: Brawl","6","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
956,"Button Men: Brom","6","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
957,"Button Men: Bunny vs. Lab Rat","4","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
958,"Button Men: Diceland","5","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
959,"Button Men: Fantasy","6","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
960,"Button Men: Freaks","6","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
961,"Button Men: Lunch Money","5","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
962,"Button Men: Pendragon","6","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
963,"Button Men: Soldiers","6","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
964,"Button Men: Vampyres","6","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
965,"Button Men: Wulan vs. Eiko","4","50","6.35973","Button Men","2","2","5","5","5","1999","standalone",,,,,,,,,,,,,
966,"Buzzle","6","5","5.5447","thing","Runes","2","4","30","30","30","",,,,,,,,,,,,,
967,"Byzantium","8","","6.82229","Byzantium","2","4","180","180","120","2005","standalone",,,,,,,,,,,,,
968,"C&O/B&O","5","","5.3754","C&O/B&O","1","2","360","360","360","1969","standalone",,,,,,,,,,,,,
969,"C3i","6","53","6.73182","Miscellaneous Game Magazine","0","0","0","0","0","0","standalone",,,,,,,,,,,,,
970,'"Ca$h ''n Gun$"',"6","2","6.60276",'"Ca$h ''n Gun$"',"4","6","30","30","30","2007","standalone",,,,,,,,,,,,,
971,'"Ca$h ''n Gun$: Silver Saw-off"',"5","","6.70263",'"Ca$h ''n Gun$: Silver Saw-off"',"4","6","20","20","20","2005","expansion",,,,,,,,,,,,,
972,'"Ca$h ''n Gun$: Size Doesn''t Matter"',"5","","6.13043",'"Ca$h ''n Gun$: Size Doesn''t Matter"',"4","6","30","30","30","2011","expansion",,,,,,,,,,,,,
973,'"Ca$h ''n Gun$: Uzi"',"5","","6.70623",'"Ca$h ''n Gun$: Uzi"',"4","9","0","0","0","2008","expansion",,,,,,,,,,,,,
974,"El Caballero","5","1","6.47821","El Caballero","2","4","90","90","90","1998","standalone",,,,,,,,,,,,,
975,"Caesar & Cleopatra","7","11","6.42585","Caesar & Cleopatra","2","2","60","60","60","1997","standalone",,,,,,,,,,,,,
976,"Caesar in Alexandria","8","","6.87366","Caesar in Alexandria","2","2","300","300","300","2001","standalone",,,,,,,,,,,,,
977,'"Caesar''s Legions"',"6","","6.16271",'"Caesar''s Legions"',"2","2","90","90","90","1975","standalone",,,,,,,,,,,,,
